longitude,latitude,magnitude,time_string,depth,catalog_id,event_id
13.38,42.342,6.1,2009-04-06T01:32:00,8.3,LAQ,IT-2009-0009
13.328,42.36,5.1,2009-04-06T02:37:00,8.7,LAQ,IT-2009-0032
13.385,42.463,5.1,2009-04-06T23:15:00,9.7,LAQ,IT-2009-0084
13.387,42.336,5.1,2009-04-07T09:26:00,9.6,LAQ,IT-2009-0095
13.486,42.303,5.5,2009-04-07T17:47:00,17.1,LAQ,IT-2009-0102
13.351,42.489,5.4,2009-04-09T00:52:00,11,LAQ,IT-2009-0121
13.35,42.504,5.2,2009-04-09T19:38:00,9.3,LAQ,IT-2009-0140
13.377,42.498,5,2009-04-13T21:14:00,9,LAQ,IT-2009-0174
