ITACA_event_id,ITACA_event_time,ITACA_ev_latitude,ITACA_ev_longitude,ITACA_ev_depth_km,ITACA_fm_type_code,ITACA_Mw,ITACA_number_records
EMSC-20160824_0000006,24/08/2016 01:36,42.6983,13.2335,8.1,NF,6,37
EMSC-20160824_0000013,24/08/2016 02:33,42.7922,13.1507,8,NF,5.3,42
EMSC-20161026_0000077,26/10/2016 17:10,42.8747,13.1243,8.1,NF,5.4,82
EMSC-20161026_0000095,26/10/2016 19:18,42.9087,13.1288,7.5,NF,5.9,76
EMSC-20161030_0000029,30/10/2016 06:40,42.8322,13.1107,9.2,NF,6.5,73
EMSC-20170118_0000027,18/01/2017 09:25,42.545,13.2768,10,NF,5.1,41
EMSC-20170118_0000034,18/01/2017 10:14,42.531,13.2838,9.6,NF,5.5,40
EMSC-20170118_0000037,18/01/2017 10:25,42.5033,13.277,9.4,NF,5.4,39
EMSC-20170118_0000119,18/01/2017 13:33,42.4733,13.2747,9.5,NF,5,44
